# Backtest Dashboard Export
# strategy_name: Hierarchical_Adaptive_v3_5b
# start_date: 2010-01-01
# end_date: 2026-01-16
# initial_capital: 10000.00
# total_return: 8844.76
# annualized_return: 32.35
# sharpe_ratio: 1.18
# max_drawdown: -28.63
# alpha: 7.14
# baseline_ticker: QQQ
Date,Portfolio_Value,Baseline_Value,BuyHold_Value,Regime,Trend,Vol
2010-01-04,10000.00,10000.00,10000.00,3,Sideways,Low
2010-01-05,10000.00,10000.00,10000.00,3,Sideways,Low
2010-01-06,10000.00,9939.68,9939.68,3,Sideways,Low
2010-01-07,10000.00,9946.14,9946.14,3,Sideways,Low
2010-01-08,10000.00,10028.01,10028.01,3,Sideways,Low
2010-01-11,9995.15,9987.07,9987.07,1,BullStrong,Low
2010-01-12,9945.27,9862.13,9862.13,1,BullStrong,Low
2010-01-13,9994.29,9984.92,9984.92,1,BullStrong,Low
2010-01-14,9997.73,9993.54,9993.54,1,BullStrong,Low
2010-01-15,9951.29,9877.21,9877.21,1,BullStrong,Low
2010-01-19,10014.93,10036.62,10036.62,1,BullStrong,Low
2010-01-20,9957.31,9892.29,9892.29,1,BullStrong,Low
2010-01-21,9920.33,9799.66,9799.66,1,BullStrong,Low
2010-01-22,9805.95,9513.14,9513.14,1,BullStrong,Low
2010-01-25,9818.85,9545.45,9545.45,1,BullStrong,Low
2010-01-26,9822.29,9554.07,9554.07,1,BullStrong,Low
2010-01-27,9852.39,9629.47,9629.47,1,BullStrong,Low
2010-01-28,9748.51,9381.73,9381.73,3,Sideways,Low
2010-01-29,9612.47,9218.01,9218.01,3,Sideways,Low
2010-02-01,9696.60,9319.26,9319.26,3,Sideways,Low
2010-02-02,9766.41,9403.27,9403.27,3,Sideways,Low
2010-02-03,9809.37,9454.98,9454.98,3,Sideways,Low
2010-02-04,9582.04,9181.39,9181.39,3,Sideways,Low
2010-02-05,9646.48,9258.94,9258.94,3,Sideways,Low
2010-02-08,9590.99,9192.16,9192.16,3,Sideways,Low
2010-02-09,9669.75,9286.95,9286.95,3,Sideways,Low
2010-02-10,9653.64,9267.56,9267.56,3,Sideways,Low
2010-02-11,9711.51,9407.58,9407.58,4,Sideways,High
2010-02-12,9711.51,9426.97,9426.97,4,Sideways,High
2010-02-16,9800.51,9547.61,9547.61,4,Sideways,High
2010-02-17,9841.51,9601.46,9601.46,4,Sideways,High
2010-02-18,9788.51,9661.78,9661.78,4,Sideways,High
2010-02-19,9788.51,9657.48,9657.48,4,Sideways,High
2010-02-22,9664.01,9638.09,9638.09,4,Sideways,High
2010-02-23,9625.33,9513.14,9513.14,3,Sideways,Low
2010-02-24,9704.47,9610.08,9610.08,3,Sideways,Low
2010-02-25,9585.33,9607.93,9607.93,1,BullStrong,Low
2010-02-26,9599.25,9642.40,9642.40,1,BullStrong,Low
2010-03-01,9962.16,9782.42,9782.42,1,BullStrong,Low
2010-03-02,9978.81,9812.58,9812.58,1,BullStrong,Low
2010-03-03,10061.83,9823.35,9823.35,1,BullStrong,Low
2010-03-04,10357.56,9855.67,9855.67,1,BullStrong,Low
2010-03-05,10417.59,10004.31,10004.31,1,BullStrong,Low
2010-03-08,10557.83,10023.70,10023.70,1,BullStrong,Low
2010-03-09,10744.19,10079.71,10079.71,1,BullStrong,Low
2010-03-10,10845.67,10161.57,10161.57,1,BullStrong,Low
2010-03-11,10867.74,10200.34,10200.34,1,BullStrong,Low
2010-03-12,10868.61,10202.50,10202.50,1,BullStrong,Low
2010-03-15,10938.75,10176.65,10176.65,1,BullStrong,Low
2010-03-16,11007.07,10241.28,10241.28,1,BullStrong,Low
2010-03-17,11098.96,10269.28,10269.28,1,BullStrong,Low
2010-03-18,10989.44,10303.75,10303.75,1,BullStrong,Low
2010-03-19,10959.86,10230.50,10230.50,1,BullStrong,Low
2010-03-22,11326.01,10323.14,10323.14,1,BullStrong,Low
2010-03-23,11232.14,10394.77,10394.77,1,BullStrong,Low
2010-03-24,11181.85,10344.68,10344.68,1,BullStrong,Low
2010-03-25,11212.23,10329.60,10329.60,1,BullStrong,Low
2010-03-26,11216.58,10340.37,10340.37,1,BullStrong,Low
2010-03-29,11402.22,10389.92,10389.92,1,BullStrong,Low
2010-03-30,11311.27,10424.39,10424.39,1,BullStrong,Low
2010-03-31,11302.76,10374.84,10374.84,1,BullStrong,Low
2010-04-01,11302.76,10374.84,10374.84,1,BullStrong,Low
2010-04-05,11588.81,10471.78,10471.78,1,BullStrong,Low
2010-04-06,11549.17,10501.94,10501.94,1,BullStrong,Low
2010-04-07,11576.45,10476.09,10476.09,1,BullStrong,Low
2010-04-08,11737.60,10499.78,10499.78,1,BullStrong,Low
2010-04-09,11762.83,10562.26,10562.26,1,BullStrong,Low
2010-04-12,11876.34,10570.87,10570.87,1,BullStrong,Low
2010-04-13,12182.69,10624.73,10624.73,1,BullStrong,Low
2010-04-14,12347.22,10751.83,10751.83,1,BullStrong,Low
2010-04-15,12063.86,10799.22,10799.22,1,BullStrong,Low
2010-04-16,12011.66,10669.97,10669.97,1,BullStrong,Low
2010-04-19,12129.29,10663.51,10663.51,1,BullStrong,Low
2010-04-20,12278.31,10717.36,10717.36,1,BullStrong,Low
2010-04-21,12427.39,10777.68,10777.68,1,BullStrong,Low
2010-04-22,12570.72,10838.00,10838.00,1,BullStrong,Low
2010-04-23,12588.99,10883.24,10883.24,1,BullStrong,Low
2010-04-26,11996.75,10859.54,10859.54,1,BullStrong,Low
2010-04-27,11728.03,10629.04,10629.04,3,Sideways,Low
2010-04-28,11859.27,10635.50,10635.50,3,Sideways,Low
2010-04-29,11867.09,10820.77,10820.77,3,Sideways,Low
2010-04-30,11679.51,10606.96,10606.96,3,Sideways,Low
2010-05-03,11690.81,10756.14,10756.14,3,Sideways,Low
2010-05-04,11372.38,10433.00,10433.00,3,Sideways,Low
2010-05-05,11107.52,10379.15,10379.15,3,Sideways,Low
2010-05-06,10833.85,10032.31,10032.31,4,Sideways,High
2010-05-07,10825.22,9782.42,9782.42,4,Sideways,High
2010-05-10,10522.60,10290.82,10290.82,4,Sideways,High
2010-05-11,10410.10,10280.05,10280.05,4,Sideways,High
2010-05-12,10502.35,10473.93,10473.93,4,Sideways,High
2010-05-13,10721.72,10308.06,10308.06,4,Sideways,High
